Name,County,State
Chesapeake Health Department,chesapeake,virginia
"City of Osage Beach, Missouri",osage,missouri
City of Milton WV,cabell,west virginia
City of Lake Worth Texas,lake,illinois
City of Cisco,eastland,texas
City of Ammon,bonneville,idaho
Pine County Public Health,pine,minnesota
City of Moody,moody,south dakota
Gordon County Government,gordon,georgia
Greene County Commissioners,greene,pennsylvania
"City of Auburndale, FL Government",polk,florida
Callaway County Sheriff's Office,callaway,missouri
Arkansas Department of Health,arkansas,arkansas
City of Fate,rockwall,texas
City of Beebe,white,arkansas
Nephi City - City Government,juab,utah
Tillamook County Community Health Centers,tillamook,oregon
The City of Boyne City,chalevoix,utah
"City of Centralia, Missouri",boone,missouri
Avery City Hall,hall,georgia
The City of Lewisburg,greenbrier,pennsylvania
Valley County Health Department,valley,nebraska
City of Kendallville Indiana,indiana,pennsylvania
City of Canal Winchester,winchester,virginia
"City of Slidell, Louisiana",st. tammany,louisiana
RCTC,rochester,minnesota
City Hall - Alva Oklahoma,oklahoma,oklahoma
Taylorsville City Hall,hall,georgia
The City of Gallipolis,gallia,ohio
Vine Grove City Hall,hall,georgia
City of Landrum,spartanburg,south carolina
City of Rock Island Government,rock,nebraska
Appleton City Hall,hall,georgia
"City of Roswell, NM Government",chaves,new mexico
City of Fulda - City Hall,hall,georgia
City Of New Braunfels - Government,comal,texas
"The City of Moore, Oklahoma - Municipal Government",oklahoma,oklahoma
City of Pharr,hidalgo,texas
"City of Troy, Texas",texas,missouri
"City of Noblesville, Ind.",hamilton,indiana
City of Woodland Park,park,montana
City of Alexandria,alexandria,virginia
Island County Public Health,island,washington
"Portales, New Mexico -Your City Government",roosevelt,new mexico
Klickitat County Health Department,klickitat,washington
"City of Wilmore, Kentucky",jessamine,kentucky
City of Carlsbad NM Government,eddy,new mexico
"St. Louis County, Minnesota",st. louis,minnesota
Caltrans HQ,MANUALLY TAG
"City of Lexington, Ky - Government",fayette,kentucky
"City of Holly Springs, Georgia - Official Government",cherokee,georgia
"City of Gladewater, City Hall",hall,georgia
City of Winnebago,winnebago,wisconsin
Douglas County Nebraska,douglas,kansas
Las Vegas City Government,clark,nevada
City of Lamar,lamar,mississippi
Floyd County Health Department,floyd,texas
Oklahoma State Department of Health,oklahoma,oklahoma
"City of Commerce, Oklahoma",oklahoma,oklahoma
Maryland Department of Health,MANUALLY TAG
Chicago Department of Public Health,cook,illinois
"City of Bend, Oregon Government",oregon,missouri
Nebraska Department of Health and Human Services,MANUALLY TAG
"Hendersonville, NC City Government",hernderson,north carolina
"City of Othello, Washington",washington,kansas
"City of Venus, Texas",texas,missouri
City of Woodburn,marion,oregon
City of Atoka,atoka,oklahoma
City of Manzanita,tillamook,oregon
City of East Bernard,monroe,new york
Louisa County Public Health,louisa,iowa
Alabaster City Hall,hall,georgia
"City of Benton, KY",marshall,kentucky
City of Oakland - Local Government,oakland,michigan
McHenry County Department of Health,mchenry,illinois
"City of Anderson, Mo.",mcdonald,missouri
Shiawassee County Health Department,shiawassee,michigan
"City of Avon, MN",stearns,minnesota
Scott County Sheriff's Office,scott,iowa
Madison County Illinois Government,madison,tennessee
"City of Rio Rancho, NM Municipal Government",sandoval,new mexico
City of Belmont-Government,belmont,ohio
Lewis County Health Department,lewis,washington
"City of East Liverpool, Ohio",ohio,kentucky
Yolo County,yolo,california
City of Stayton - Government,marion,oregon
City of Greenbelt Government,prince george's,maryland
City of Laguna Niguel - Government,orange,california
"City of Watauga, Texas Government",texas,missouri
City of Panama City - Government,bay,florida
"Limestone County, Ala. - Commission",limestone,texas
myTDOT,MANUALLY TAG
"City of Scott City, MO",scott,iowa
"City of Berea, Ohio",ohio,kentucky
Chautauqua County Health Department,chautauqua,kansas
"Bluffdale City, Utah",utah,utah
"City of Byron - IL, 1st Ward",ward,north dakota
City of Coopersville Government,MANUALLY TAG
Moab City,grand,utah
"Hooper City, UT",weber,utah
McDowell County Health Department,mcdowell,north carolina
City of Canfield,mahoning,ohio
City Hall of Picayune,hall,georgia
City of Hastings Michigan,barry,michigan
City of Early,early,georgia
Linn County Public Health,linn,iowa
City of Cannon Beach,cannon,tennessee
Atchison County Missouri Health Department,atchison,kansas
City of Johnston Government,johnston,north carolina
City of East Palo Alto - Government,palo alto,iowa
Marion County,marion,indiana
City of San Jacinto - City Government,san jacinto,texas
"City of Rosebud, TX",falls,texas
Community Health Partners,MANUALLY TAG
County of Mendocino,mendocino,california
Fairfax County Government,fairfax,virginia
"City of Grants Pass, Local Government",josephine,oregon
Okaloosa Board of County Commissioners,okaloosa,florida
Health Department of Northwest Michigan,MANUALLY TAG
"City of Box Elder, SD",pennington,south dakota
"City of Philomath, Oregon",oregon,missouri
"Henry County, Ohio",henry,illinois
Layton City Utah,utah,utah
"City of Clayton, Missouri",st. louis county,missouri
Miami-Dade County Department of Transportation and Public Works,miami-dade,florida
City of Altamont,albany,new york
Vilas County,vilas,wisconsin
"Derby, Kansas City Hall",hall,georgia
The City of Batesville,MANUALLY TAG
"City of Lakeville, Minnesota - Government",dakota,minnesota
"City of Asbury, Iowa",iowa,wisconsin
"The City of Frankfort, Indiana",indiana,pennsylvania
County of Santa Cruz,santa cruz,california
City of Laredo Health Department,webb,texas
City of Shellsburg,benton,iowa
Texas Department of State Health Services,texas,missouri
City of Wauchula - Government,hardee,florida
Putnam County Health Department - NY,putnam,tennessee
City of Ishpeming,marquette,michigan
City of Dixon Illinois Government,dixon,nebraska
Indiana Department of Transportation,indiana,pennsylvania
CDC,MANUALLY TAG
"Mobile County, Alabama",mobile,alabama
Tuscaloosa County Commission,tuscaloosa,alabama
Henry & Stark County Health Departments,henry,illinois
Fallon County Health Department,fallon,montana
"City of Groveland, FL - Municipal Government",lake,florida
City of West Liberty,liberty,florida
City of Coquille,coss,oregon
"Putnam County, FL BOCC",putnam,tennessee
Socorro County,socorro,new mexico
City of Mount Vernon Texas - Municipal Government,texas,missouri
Milford CT City Hall,hall,georgia
Salt Lake County Health Department,lake,illinois
Maryville City Government,blount,tennessee
Spring City Borough,rhea,tennesee
City of Sheridan WY - Government,sheridan,north dakota
City of New Bedford Police Department (Official),bedford,virginia
City of Douglasville - Government,douglas,georgia
City of Idaho Falls,falls,texas
City of Wabash Indiana,wabash,indiana
City of Cottonwood,cottonwood,minnesota
"City of Live Oak, Texas",texas,missouri
City of Chapman,orange,california
Fayette County Public Health-OHIO,fayette,iowa
Lackawanna NY - City Government,lackawanna,pennsylvania
City of Barstow - Crossroads of Opportunity,san bernardino,california
"City of Tarpon Springs, Florida - City Hall",hall,georgia
"City of Goddard, Kansas - Local Government",sedgwick,kansas
"Chambers County, Texas",texas,missouri
New Castle County Government,new castle,delaware
"City of Sullivan, Indiana",indiana,pennsylvania
"City of Beatrice, Nebraska - Municipal Government",gage,nebraska
Clark County Health Department Kahoka Missouri,clark,illinois
City of Warrenville Government,dupage,illinois
City of Foley Municipal Government,baldwin,alabama
City of Rock Falls IL,rock,nebraska
"City of Marshall, MN",marshall,minnesota
City of Sturgeon Bay,bay,michigan
City of Sioux Falls - Municipal Government,sioux,nebraska
City of East Ridge - Government,hamilton,tennessee
Transylvania County,transylvania,north carolina
Stratford Health Department,sherman,texas
"City of Temple, Texas - City Government",texas,missouri
"City of Lake Stevens, WA",lake,illinois
"Clark County, WA",clark,illinois
Denver City Chamber of Commerce,denver,colorado
The Galion City Health Department,crawford,ohio
Pima County Health Department,pima,arizona
Putnam County Sheriff WV,putnam,tennessee
"York County, Virginia",york,pennsylvania
"City of Wyoming, MN",chisago,minnesota
City of Veneta,lane,oregon
"City of Wayne, Nebraska - Government",wayne,nebraska
"City of Greer, SC",greenville,south carolina
Delaware County Public Health,delaware,oklahoma
"City of Princeton, Minnesota",mille lacs,minnesota
City of Salem - City Hall,hall,georgia
Springville City,utah,utah
City of Maumelle Government,pulaski,arkansas
McDonough County Health Department,mcdonough,illinois
Broome County Health Department,broome,new york
The City of Zachary,east baton rouge,louisiana
Sidney-Shelby County Health Department,shelby,ohio
The City of Martinsville VA,martinsville,virginia
City of Kalama,cowlitz,washington
City of Haysville Kansas,sedgwick,kansas
City of Sherburn,martin,minnesota
City of Kaufman,kaufman,texas
City of Stanton,stanton,nebraska
City of Miami Government,miami,kansas
City of Post Falls Government,falls,texas
Two Rivers Public Health Department,manitowoc,wisconsin
"Benton County, WA Sheriff's Office - Sheriff Jerry Hatcher",benton,tennessee
City of Eldridge,scott,iowa
Vermilion County Health Department,vermilion,illinois
"City of Riverside, Missouri Government",platte,missouri
Cabarrus Health Alliance,cabarrus,north carolina
Mayor David Rieder,clarksville,arkansas
"City of Titusville, Florida - Gateway to Nature and Space",brevard,florida
"Chester County, TN",chester,south carolina
City of Independence,independence,arkansas
"Blaine County, Idaho",blaine,nebraska
City of Seymour Missouri,webster,missouri
Miller County Health Center,miller,missouri
Maine CDC,MANUALLY TAG
City of Coalinga,fresno,california
"City of Robert Lee, Texas",texas,missouri
Del Norte County Public Health,del norte,california
"Park County, Montana",park,montana
Pennsylvania Department of Health,MANUALLY TAG
Florida Department of Transportation,MANUALLY TAG
"City of Menominee, MI - Government",menominee,michigan
"Clark County, Ohio",ohio,kentucky
"The City of Albertville, AL",marshall,alabama
City of Lindstrom,chisago,minnesota
"The City of Lawson, Missouri",ray,missouri
City of Aumsville,marion,oregon
"City of Liberty, Mo. Government",clay,missouri
The City of Lockport,niagara,new york
San Luis Obispo County Public Health Department,san luis obispo,california
City of Villa Hills,kenton,kentucky
"City of Geneva, NY",ontario,new york
County of Pulaski Virginia,pulaski,kentucky
City of Alma Michigan - Make It Yours!,gratiot,michigan
Highland County Health Department,highland,virginia
"City of Springfield, Ohio - Government",ohio,kentucky
"City of Tehachapi, CA Government",kern,califonia
"City of Mulberry, FL Government",polk,florida
"City of Ely, Iowa",iowa,wisconsin
County of Fresno,fresno,california
Loup Basin Public Health Department,loup,nebraska
Saline County Health Department,saline,kansas
City of Kimberling City,stone,missouri
"Sioux City, Iowa Government",iowa,wisconsin
City of Heflin,cleburne,alabama
Kootenai County Sheriff's Office,kootenai,idaho
"City of Aurora, Missouri",lawrence,missouri
"Washington County,  Wisconsin",washington,kansas
"Douglas County, WA",douglas,kansas
"Grainger County, TN",grainger,tennessee
Pickens County GA Government,pickens,south carolina
City of Pekin Illinois - Government,tazewell,illinois
Orangeburg County Sheriff's Office,orangeburg,south carolina
Kaufman County,kaufman,texas
City of Snohomish Washington-City Hall,hall,georgia
"Conway, Arkansas, City of Colleges",faulkner,arkansas
Howell County Health Department,howell,missouri
City of Columbus - WI,columbus,north carolina
Washburn County Health Department,washburn,wisconsin
Tooele City,tooele,utah
City of Corvallis,benton,oregon
City of Camas,camas,idaho
"City of Sand Springs, Oklahoma",oklahoma,oklahoma
"City of Bellingham, Washington - Government",washington,kansas
City of Sterling - City Hall,hall,georgia
City of Slocomb,geneva,alabama
"City of Morganton, NC Government",burke,north carolina
City of Council Bluffs - Municipal Government,pottawattamie,iowa
Tioga County Public Health,tioga,pennsylvania
City of Olympia - Government,thurston,washington
"City of Harrison, Arkansas – Government",arkansas,arkansas
"Nassau County, FL",nassau,new york
City of Auxvasse,callaway,missouri
"City of Newton, Iowa - Government",iowa,wisconsin
City of Greenwood AR,greenwood,kansas
Douglas Public Health Network,douglas,kansas
City of Ashland Ohio,ashland,wisconsin
Alamosa County Public Health Department,alamosa,colorado
City of Stinnett,hutchinson,texas
"Noble County Health Department, Caldwell Ohio",noble,indiana
City of South Pasadena – Local Government,los angeles,california
"City Government of Celina, Texas",texas,missouri
City of Champaign - Municipal Government,champaign,ohio
City of Racine Public Health Department,racine,wisconsin
"Reno County, Kansas",reno,kansas
Oswego County Health Department,oswego,new york
Canadian County Health Department,canadian,oklahoma
"City of Mattoon, Illinois - Municipality",coles,illinois
City of South Burlington,burlington,new jersey
McClain County Health Department,mcclain,oklahoma
"City of Milan, Tennessee",gibson,tennessee
Platte County Public Health,platte,missouri
Aitkin County Public Health Education,aitkin,minnesota
"City of Henderson, KY Government",henderson,ky
"Scott County, Iowa",scott,iowa
City of Parkland,el paso,texas
City of Harrington,kent,delaware
"Franklin County, Illinois Government",franklin,florida
"Northville City Hall, Michigan",oakland,michigan
City of Glencoe,mcleod,minneosta
Eagle County Government,eagle,colorado
Kansas Department of Transportation - Northeast Kansas,MANUALLY TAG
City of Walterboro Government,colleton,south carolina
"Waynesboro, VA - City Hall",hall,georgia
City of El Campo,wharton,texas
City of Madelia,watonwan,minnesota
City of Danbury Department of Health & Human Services,fairfield,connecticut
City of Milwaukee Health Department,milwaukee,wisconsin
"City of Arden Hills, MN",ramsey,minnesota
"City of Kinston, North Carolina",lenoir,north carolina
Hardin County IA,hardin,iowa
City of Lamoni,decatur,iowa
"City of Mansfield, Georgia",newton,
"City of Fairfield, Iowa Government",iowa,wisconsin
"Erie County, Pennsylvania",erie,pennsylvania
Saline County,saline,kansas
City of Pleasant Grove Alabama,jackson,alabama
"Park County, Colorado",park,montana
City of Falcon Heights,ramsey,minnesota
Greenwood County SC Government,greenwood,kansas
City of Keystone Heights,clay,florida
Barnstable County Department of Health and Environment,barnstable,massachusetts
City of Banks,banks,georgia
"City of Kimball, Nebraska",kimball,nebraska
"City of Gladwin, Gladwin City Hall",gladwin,michigan
"City of College Park, Georgia",fulton,georgia
City of Crescent Springs Kentucky,kenton,kentucky
City of Little Canada,ramsey,minnesota
"City of San Juan Bautista, California",san juan,washington
Bent County Public Health,bent,colorado
"City of Fayetteville, Texas",texas,missouri
Dawson County Government,dawson,georgia
Murray County Minnesota,murray,minnesota
City of Ogallala,keith,nebraska
City of Del Mar,san diego,california
City of Hercules,contra costa,california
City of Hoffman,cook,illinois
City of Council Grove,morris,kansas
Clayton County Government,clayton,georgia
Walton County Georgia Health Department,walton,georgia
"Murray City, Utah",murray,minnesota
City of Sergeant Bluff,woodbury,iowa
Pitkin County Public Health,pitkin,colorado
Pelican Rapids City Page,page,iowa
Daniels County Health Department,daniels,montana
City of Bates City,bates,missouri
City of Burns,harney,oregon
City of Melrose,middlesex,massachusetts
Hancock County Health Department,hancock,illinois
City of Beacon,dutchess,new york
Reading City Council,berks,pennsylvania
"Davidson County, NC - Government",davidson,north carolina
"City of Union, SC  - City Hall",hall,georgia
Benton County Public Health,benton,tennessee
City of Battle Lake,lake,illinois
Williamston City Hall,hall,georgia
City of Whitewright,grayson,texas
City of Mercer Island,mercer,missouri
Newark Department of Health and Community Wellness,essex,new jersey
City of Asbury Park,park,montana
Granville Vance Public Health,vance,north carolina
Clay County MN,clay,tennessee
Lipscomb County Courthouse,lipscomb,texas
Roscommon County,roscommon,michigan
Winston County Health Department,winston,mississippi
City of South Beloit,winnebago,illinois
City of Osakis MN,douglas,minnesota
"Big Horn County, Montana",big horn,wyoming
"Smith County, KS",smith,kansas
Lake County Public Health,lake,illinois
State of Hawaii Department of Health-Disease Outbreak Control Division,hawaii,hawaii
Cintimha/Cincinnati Metropolitan Housing Authority,hamilton,ohio
Stanly County Department of Public Health,stanly,north carolina
"Lincoln County, Wyoming",wyoming,west virginia
City of Appleton City,outagamie,wisconsin
City of Holtville,imperial,california
"Plumas County, CA",plumas,california
"Billings County, ND",billings,north dakota
"City of Harper, Kansas",harper,kansas
Wadena County Public Health,wadena,minnesota
"City of Marthasville, Missouri",warren,missouri
City of Canby OR,clackamas,oregon
Texas County Health Department,texas,missouri
City of Lake City,lake,illinois
City of Safety Harbor Government,pinellas,florida
City Of Westlake Ohio Government,ohio,kentucky
Denver Public Health,denver,colorado
Essex County,essex,new york
Horizon Public Health,el paso,texas
City of Vermillion - Municipal Government,vermillion,indiana
"City of University Park, TX",dallas,texas
Houston Housing Authority,houston,texas
"Poinsett County, AR",poinsett,arkansas
Hardin County Government,hardin,iowa
"City of Greensburg, Kansas",kiowa,kansas
Bethlehem Health,northampton,pennsylvania
Genesee County Health Department,genesee,michigan
Washington County Public Health,washington,kansas
Muskogee County Health Department,muskogee,oklahoma
"Calumet County, WI Government",calumet,wisconsin
Monroe Health Department,monroe,pennsylvania
City of Perham Government,otter tail,minnesota
City of North College Hill,hill,texas
"Clinton County, Michigan",clinton,michigan
"Comanche County, Oklahoma",oklahoma,oklahoma
Cheyenne-Laramie County Health Department,laramie,wyoming
City of Homewood,cook,illinois
City of Kirksville,adair,missouri
"Lawrence County, Arkansas",lawrence,missouri
Gilpin County Public Health,gilpin,colorado
"City of Adams, TN",robertson,tennessee
Beaver County Utah,beaver,utah
City of Centerville MN,anoka,minnesota
McCurtain County Health Department,mccurtain,oklahoma
"Lyon County, Minnesota",lyon,kansas
"Enterprise City, Utah",utah,utah
Woods County Health Department,woods,oklahoma
Audubon County Public Health,audubon,iowa
City of Fenton Michigan – City Hall,hall,georgia
New Orleans Health Department,orleans,new york
City of Dacono Government,weld,colorado
"City of Douglas, GA Government",douglas,georgia
"Carlton County, MN - Government",carlton,minnesota
"Worcester County Government, Maryland",worcester,maryland
"City of Mission, KS - Government",johnson,kansas
Coconino County Health and Human Services,coconino,arizona
Chatham County Public Health Department NC,chatham,north carolina
Northampton County Health Department,northampton,virginia
Person County Government,person,north carolina
Nashua Division of Public Health & Community Services,hillsborough,new hampshire
"City of Seaside, California - City Hall",hall,georgia
City of Milton-Government,fulton,georgia
West Springfield Health Department,fairfax,virginia
"City of Johnson City, Texas",johnson,indiana
"Stonewall Town Hall, Ask the Mayor",stonewall,texas
Clay County Health Department,clay,tennessee
Highland City,highland,virginia
City of Compton - Government,los angeles,california
Travis County Health and Human Services,travis,texas
City of Elberton,elbert,georgia
City of Grand Rapids MN,grand,colorado
"Sugar City, Idaho",madison,idaho
Latimer County Health Department,latimer,oklahoma
Okfuskee County Health Department,okfuskee,oklahoma
Healthy Wauwatosa,milwaukee,wisconsin
City of Decorah,winneshiek,iowa
"City of Leeton, Missouri",johnson,missouri
Ventura County Health Care Agency,ventura,california
Cleveland Department of Public Health,cleveland,oklahoma
Major County Health Department,major,oklahoma
City of San Carlos,san mateo,california
"Webster County, Kentucky",webster,iowa
"Town of Spring City, TN",rhea,tennessee
"Page County, Virginia",page,iowa
"City of Weldon Spring, Missouri",st. charles,missouri
Lowndes County Health Department,lowndes,mississippi
"City of Garfield, Minnesota",douglas,minnesota
Seminole County Health Department,seminole,florida
Atlanta Housing,fulton,georgia
Boise City Council,boise,idaho
"St. Clair County Health Department, Belleville, Illinois",st. clair,missouri
"City of Piedmont, Alabama",calhoun,alabama
Caribou County,caribou,idaho
"Essex, MA Board of Health",essex,massachusetts
"City of Crooks, SD",minnehaha,south dakota
"Mathews County, Virginia",mathews,virginia
"City of Fayetteville, Georgia - Government",fayette,georgia
"Hinds County, MS",hinds,mississippi
"South Sioux City, NE",sioux,nebraska
Teton County Health Department,teton,montana
Blount County Health Department,blount,tennessee
Centerfield City,sanpete,utah
Richland County Health Department,richland,south carolina
Clarendon County Administration,clarendon,south carolina
Village of Johnson City,johnson,indiana
City of Orangeburg,orangeburg,south carolina
Mille Lacs County,mille lacs,minnesota
"City of Mountain Lake, MN",cottonwood,minnesota
Ulster County Department of Health,ulster,new york
Vernal City,uintah,utah
City of Gold Beach & GBPD,curry,oregon
City of Campbell,campbell,tennessee
Detroit Department of Transportation,wayne,missouri
City of Hartford Department of Health and Human Services,hartford,connecticut
Cumberland County Department of Health,cumberland,illinois
Fairfield County South Carolina,fairfield,south carolina
City of Delta Junction,delta,colorado
City of Spicer,kandiyohi,minnesota
City of Mediapolis,des moines,iowa
Ashtabula City Health Department,ashtabula,ohio
Sumter County,sumter,alabama
Bayfield County Government,bayfield,wisconsin
McIntosh County North Dakota,dakota,minnesota
"Toledo City Council, District 3",district 3,alaska
"Clay County, Missouri Government",clay,tennessee
Cudahy WI Health Department,milwaukee,wisconsin
Osage County Health Department,osage,missouri
"City of Boiling Spring Lakes, NC",brunswick,north carolina
Ashland-Boyd County Health Department,boyd,kentucky
"City of Augusta, WI",eau claire,wisconsin
City of Krugerville,denton,texas
"City of Peru, Indiana - Mayor's Office",indiana,pennsylvania
Pine Island City Hall,hall,georgia
Spalding County Board of Commissioners,spalding,georgia
City of Bellbrook Local Government,greene,ohio
"City of Dallas, Georgia – Government",paulding,georgia
City of Lavon,collin,texas
Baltimore County Department of Health and Human Services,baltimore,maryland
City of Maple Plain,hennepin,minnesota
Madison County Courthouse,madison,tennessee
"Milford City, Utah",utah,utah
Luzerne County,luzerne,pennsylvania
Schuyler County Health Department,schuyler,missouri
City Of Olean,cattaraugus,new york
City Government of Rincon,effingham,georgia
Doniphan County Health Dept./Home Health,doniphan,kansas
"City of Peru, Illinois Offices",lasalle,illinois
North Shore Health Department,cook.illinois
Kingman County Government,kingman,kansas
"Brown County Health Department-Nashville, IN",brown,wisconsin
"Jackson County, Kansas-Government",jackson,mississippi
North Country Health Alliance,MANUALLY TAG
"Washington County Fiscal Court, Springfield KY",washington,kansas
"City of The Village, OK - City Government",oklahoma,oklahoma
Fairview City,erie,pennsylvania
Ness County,ness,kansas
City of Newaygo,newaygo,michigan
"City of Gordon, Texas",texas,missouri
"City of Hubbard, Oregon",oregon,missouri
"City of Lovejoy, GA",clayton,georgia
Scioto County Health Department,scioto,ohio
"City of Andover, MN",anoka,minnesota
"City of Balcones Heights, Texas",texas,missouri
"City of North Branch, Minnesota - Government",chisago,minnesota
City of La Crescent,houston,minnesota
"Sevier County, Utah",sevier,arkansas
"City of El Dorado, AR - City Hall",hall,georgia
City of Jacksboro,campbell,tennessee
Milam County Health Department,milam,texas
"City of Shelby, North Carolina",cleveland,north carolina
Charles County Department of Health,charles,maryland
The City of Effingham,effingham,illinois
City of Twin Valley,valley,nebraska
"City of Canton, SD",lincoln,south dakota
"Crook County, WY Public Health",crook,wyoming
"City of Saratoga, CA",santa clara,california
Norfolk Department of Public Health,norfolk,massachusetts
Deschutes County Health Services,deschutes,oregon
Carter County Tennessee,carter,tennessee
Owsley County Health Center,owsley,kentucky
"City of Princeton, Indiana",indiana,pennsylvania
City of Bisbee,cochise,arizona
City of Pinconning DDA,bay,michigan
"City of Fairway, KS",johnson,kentucky
"City of La Crosse, WI  - Government/City news",la crosse,wisconsin
City of Scottsboro Alabama,jackson,alabama
Housing Authority of Baltimore City,baltimore,maryland
Queen Anne's County Department of Health,queen anne's,maryland
North Logan City,logan,north dakota
Onondaga County Health Department,onondaga,new york
"City of Minneola, FL",lake,florida
City of Riesel,mclennan,texas
Sonoma County Department of Health Services,sonoma,california
Elko County,elko,nevada
Glendale City Hall,hall,georgia
Chenango County Health Department,chenango,new york
Modoc County Public Health,modoc,california
"Greene County, Missouri",greene,pennsylvania
Salt Lake County Regional Development,lake,illinois
City of Centerville Iowa,iowa,wisconsin
Stark County ND,stark,north dakota
Marengo County Health Department,marengo,alabama
City of Harlan Iowa,iowa,wisconsin
"City of Wellington, KS",sumner,kansas
City of Piperton,fayette,tennessee
"City of Lake Alfred, FL",lake,illinois
Russell County Kansas,russell,virginia
City of Redwood Falls,falls,texas
LCHD Public Health Clinic,lake,illinois
City of Sausalito,marin,california
Tompkins County Health Department,tompkins,new york
"City of Yale, OK",payne,oklahoma
East Longmeadow Health Department,hampden,massachusetts
City of Silver Lake,lake,illinois
City of RIVER OAKS,tarrant,texas
"City of Wickliffe, Kentucky",ballard,kentucky
City of Hiram,padding,georgia
"Calhoun County, SC",calhoun,alabama
Keokuk County Public Health,keokuk,iowa
"City of Cimarron, KS",gray,kansas
Powder River Public Health,powder river,montana
"City of Milford, Texas",texas,missouri
Detroit Health Department,wayne,michigan
"Fremont County, Colorado",fremont,idaho
"City of Campbell, Missouri",dunklin,missouri
Talbot County Health Department,talbot,maryland
Harford County Health Department,harford,maryland
SMART Bus,MANUALLY TAG
"City of Chester, Illinois Mayor's Office",randolph,illinois
Caroline County Health Department Maryland,caroline,maryland
"City of Marengo, Iowa",iowa,wisconsin
"The City of Live Oak, Florida",suwannee,florida
City of Wabasso,redwood,minnesota
City of Northampton,northampton,virginia
Jefferson County Oregon,jefferson,ohio
Stafford County Health Department,stafford,kansas
Graves County Health Department,graves,kentucky
"City of Temple, Georgia",carroll,georgia
"City of Emporia, Virginia-Local Government",greensville,virginia
The City of Gibraltar,door,wisconsin
City of Bloomfield,davis,iowa
"City of Medina, Minnesota",hennepin,minnesota
Ransom County,ransom,north dakota
City of Newfolden,marshall,minnesota
Central Racine County Health Department,racine,wisconsin
Norman-Mahnomen Public Health,mahnomen,minnesota
Renville County,renville,north dakota
Caldwell County Missouri,caldwell,kentucky
Morton County Health Department,morton,north dakota
City of Downs,osborne,kansas
McDowell County Commission,mcdowell,north carolina
City of Motley,motley,texas
City of Blue Hill,hill,texas
Elmore County,elmore,idaho
Benton County Health Department,benton,tennessee
"Tift County, Georgia Government",tift,georgia
City of Cardwell,dunklin,missouri
"Frederick County, VA Government",frederick,virginia
Greene County Public Health,greene,pennsylvania
City of Keene,johnson,texas
Colquitt County Board of Commissioners,colquitt,georgia
"City of Shell Lake, Wisconsin",washburn,wisconsin
"City of Iola, KS - Local Government",allen,kansas
"The County of Gooding, Idaho",gooding,idaho
City of Cascade,cascade,montana
City of Bedford Heights,bedford,virginia
City of Lake Elmo - Government,lake,illinois
City of Tekamah,burt,nebraska
"City of Redmond, Oregon",oregon,missouri
Sandusky County Public Health,sandusky,ohio
Southwest Utah Public Health Department,utah,utah
Sampson County,sampson,north carolina
Greenbrier County Health Department,greenbrier,west virginia
Dallas County Health and Human Services,dallas,arkansas
"City of Tega Cay, SC",york,south carolina
"City of Clinton, SC",laurens,south carolina
City of Massillon-City Hall,hall,georgia
Bond County Health Department,bond,illinois
Tazewell County Health Department,tazewell,virginia
The City of Galion,crawford,ohio
City of Prineville,crook,oregon
Idaho Transportation Department (ITD),MANUALLY TAG
"City of Woodruff, South Carolina",spartanburg,south carolina
"The City of Goshen, Indiana",indiana,pennsylvania
City of Cibolo,guadalupe,texas
City of Aliso Viejo - Local Government,orange,california
"City of Marble Falls, Texas",texas,oklahoma
Lincoln County Oregon Public Health,lincoln,new mexico
"City of Fairfield, Ohio - Government",ohio,west virginia
The City of Klamath Falls,klamath,oregon
City of Port Clinton,clinton,indiana
"City of Clinton, NC",sampson,north carolina
Lenawee County Health Department,lenawee,michigan
Butler County Public Health,butler,ohio
"City of Burlington, Iowa Government",iowa,iowa
City of Ormond Beach,volusia,florida
Erie County Department of Health (ECDOH),erie,new york
Steele County,steele,north dakota
Tuscarawas County Health Department,tuscarawas,ohio
"City of Pineville, Missouri",mcdonald,missouri
City of Winner,tripp,south dakota
Boston Housing Authority,suffolk,massachusetts
City of Ottawa Illinois Government,ottawa,ohio
"City of Trenton, Michigan - Government",wayne,michigan
Jackson County Health & Human Services,jackson,texas
"Alamance County, NC Local Government",alamance,north carolina
"City of El Paso, Texas - Municipal Government",texas,oklahoma
Lee County Il Health Department,lee,south carolina
City of Ortonville MN,big stone,minnesota
"City of Kemah, TX",galveston,texas
City of Martin,martin,minnesota
"Chester County, South Carolina",chester,south carolina
"City of Sacramento, Government",sacramento,california
City of Moscow,latah,idaho
Walker County AL Commission,walker,texas
"County of Alameda, CA - Government",alameda,california
Hendry County,hendry,florida
Public Health - Dayton & Montgomery County,montgomery,virginia
Hill County Health Department,hill,texas
"City of Plymouth, MN - Local Government",hennepin,minnesota
Blanding City,san juan,utah
City of Wakefield,gogebic,michigan
Craven County NC,craven,north carolina
City of Baytown - Government,harris,texas
"City of Ellensburg, WA",kittitas,washington
City of Loris,horry,south carolina
"Defiance, OH - Your City Government",defiance,ohio
"City of Meridian, Idaho - Government",ada,idaho
Hancock County Health Department-WV,hancock,illinois
City of Mitchell Government,mitchell,kansas
Lorain County Public Health,lorain,ohio
City of Auburn,lee,alabama
"City of Clearwater, KS Government",sedgwick,kansas
"City of Lowell, Michigan",kent,michigan
"City of Urbandale, Iowa",iowa,iowa
